artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
23;2026-01-21 14:34:31;000023 - VELUDO BOUCLE NICE - COR: 16 - CARAMELO;Pronta entrega;9.101,60;220,00;8.881,60
23;2026-01-21 14:34:31;000023 - VELUDO BOUCLE NICE - COR: 29 - TERRA COTA;Pronta entrega;0,00;0,00;0,00
23;2026-01-21 14:34:31;000023 - VELUDO BOUCLE NICE - COR: 29 - TERRA COTA;20/02/2026;2.195,80;1.670,00;525,80
23;2026-01-21 14:34:31;000023 - VELUDO BOUCLE NICE - COR: 40 - CASTOR;Pronta entrega;40.738,60;3.270,00;37.468,60
23;2026-01-21 14:34:31;000023 - VELUDO BOUCLE NICE - COR: 41 - MOKA;Pronta entrega;2.381,40;220,00;2.161,40
23;2026-01-21 14:34:31;000023 - VELUDO BOUCLE NICE - COR: 41 - MOKA;20/02/2026;4.715,40;0,00;4.715,40
23;2026-01-21 14:34:31;000023 - VELUDO BOUCLE NICE - COR: 49 - STEEL GREY;Pronta entrega;1.252,60;500,00;752,60
23;2026-01-21 14:34:31;000023 - VELUDO BOUCLE NICE - COR: 49 - STEEL GREY;20/02/2026;16.455,30;120,00;16.335,30
23;2026-01-21 14:34:31;000023 - VELUDO BOUCLE NICE - COR: 55 - VERDE OLIVA;Pronta entrega;0,00;0,00;0,00
23;2026-01-21 14:34:31;000023 - VELUDO BOUCLE NICE - COR: 55 - VERDE OLIVA;20/02/2026;3.006,20;1.220,00;1.786,20
23;2026-01-21 14:34:31;000023 - VELUDO BOUCLE NICE - COR: 56 - NATURAL;Pronta entrega;0,00;0,00;0,00
23;2026-01-21 14:34:31;000023 - VELUDO BOUCLE NICE - COR: 56 - NATURAL;20/02/2026;12.320,20;12.300,00;20,20
23;2026-01-21 14:34:31;000023 - VELUDO BOUCLE NICE - COR: 57 - MALVA;Pronta entrega;8.170,20;120,00;8.050,20
23;2026-01-21 14:34:31;000023 - VELUDO BOUCLE NICE - COR: 58 - PRATA;Pronta entrega;0,00;0,00;0,00
23;2026-01-21 14:34:31;000023 - VELUDO BOUCLE NICE - COR: 58 - PRATA;20/02/2026;8.924,00;420,00;8.504,00
23;2026-01-21 14:34:31;000023 - VELUDO BOUCLE NICE - COR: 61 - PALHA;Pronta entrega;9.976,30;231,50;9.744,80
