artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
29;2026-01-21 13:53:51;000029 - MICRO SIDE - COR: 000055 - BLACK;Pronta entrega;24.100,00;0,00;24.100,00
29;2026-01-21 13:53:51;000029 - MICRO SIDE - COR: 000055 - BLACK;12/02/2026;49.400,00;0,00;49.400,00
29;2026-01-21 13:53:51;000029 - MICRO SIDE - COR: 000077 - RED;Pronta entrega;2.999,00;0,00;2.999,00
29;2026-01-21 13:53:51;000029 - MICRO SIDE - COR: 0001313 - CHOCOLATE;Pronta entrega;39.843,00;0,00;39.843,00
29;2026-01-21 13:53:51;000029 - MICRO SIDE - COR: 0001313 - CHOCOLATE;12/02/2026;17.800,00;0,00;17.800,00
29;2026-01-21 13:53:51;000029 - MICRO SIDE - COR: 0001414 - DARK GREY;Pronta entrega;7.812,00;800,00;7.012,00
29;2026-01-21 13:53:51;000029 - MICRO SIDE - COR: 0001414 - DARK GREY;12/02/2026;27.696,00;0,00;27.696,00
29;2026-01-21 13:53:51;000029 - MICRO SIDE - COR: 0001515 - ICE;Pronta entrega;19.418,00;0,00;19.418,00
29;2026-01-21 13:53:51;000029 - MICRO SIDE - COR: 0001515 - ICE;12/02/2026;24.200,00;0,00;24.200,00
29;2026-01-21 13:53:51;000029 - MICRO SIDE - COR: 0001717 - MARSALA;Pronta entrega;6.013,00;0,00;6.013,00
29;2026-01-21 13:53:51;000029 - MICRO SIDE - COR: 0003434 - MARINHO;Pronta entrega;62,00;0,00;62,00
29;2026-01-21 13:53:51;000029 - MICRO SIDE - COR: 0003434 - MARINHO;12/02/2026;11.800,00;0,00;11.800,00
29;2026-01-21 13:53:51;000029 - MICRO SIDE - COR: 0004040 - CASTOR;Pronta entrega;1.600,00;0,00;1.600,00
29;2026-01-21 13:53:51;000029 - MICRO SIDE - COR: 0006969 - BRANCO;Pronta entrega;16.600,00;0,00;16.600,00
29;2026-01-21 13:53:51;000029 - MICRO SIDE - COR: 0006969 - BRANCO;12/02/2026;21.200,00;0,00;21.200,00
