artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0001616 - CARAMELO / 00000LISO/00000Padrao / 0001616 - CARAMELO;Pronta entrega;9.101,60;220,00;8.881,60
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0002929 - TERRA COTA / 00000LISO/00000Padrao / 0002929 - TERRA COTA;Pronta entrega;0,00;0,00;0,00
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0002929 - TERRA COTA / 00000LISO/00000Padrao / 0002929 - TERRA COTA;20/02/2026;2.195,80;1.670,00;525,80
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0004040 - CASTOR / 00000LISO/00000Padrao / 0004040 - CASTOR;Pronta entrega;40.738,60;3.270,00;37.468,60
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0004141 - MOKA / 00000LISO/00000Padrao / 0004141 - MOKA;Pronta entrega;2.381,40;220,00;2.161,40
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0004141 - MOKA / 00000LISO/00000Padrao / 0004141 - MOKA;20/02/2026;4.715,40;0,00;4.715,40
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0004949 - STEEL GREY / 00000LISO/00000Padrao / 0004949 - STEEL GREY;Pronta entrega;1.252,60;500,00;752,60
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0004949 - STEEL GREY / 00000LISO/00000Padrao / 0004949 - STEEL GREY;20/02/2026;16.455,30;120,00;16.335,30
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0005555 - VERDE OLIVA / 00000LISO/00000Padrao / 0005555 - VERDE OLIVA;Pronta entrega;0,00;0,00;0,00
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0005555 - VERDE OLIVA / 00000LISO/00000Padrao / 0005555 - VERDE OLIVA;20/02/2026;3.006,20;1.220,00;1.786,20
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0005656 - NATURAL / 00000LISO/00000Padrao / 0005656 - NATURAL;Pronta entrega;0,00;0,00;0,00
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0005656 - NATURAL / 00000LISO/00000Padrao / 0005656 - NATURAL;20/02/2026;12.320,20;12.300,00;20,20
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0005757 - MALVA / 00000LISO/00000Padrao / 0005757 - MALVA;Pronta entrega;8.170,20;120,00;8.050,20
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0005858 - PRATA / 00000LISO/00000Padrao / 0005858 - PRATA;Pronta entrega;0,00;0,00;0,00
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0005858 - PRATA / 00000LISO/00000Padrao / 0005858 - PRATA;20/02/2026;8.924,00;420,00;8.504,00
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0006161 - PALHA / 00000LISO/00000Padrao / 0006161 - PALHA;Pronta entrega;9.976,30;231,50;9.744,80
